SPILL ID,LAT,LON,SPILL CAUSE,FILE,x,y,start_date,sm_surface,sm_rootzone,sm_profile,soil_water_infiltration_flux,vegetation_greenness_fraction,surface_temp,surface_pressure,SPILL_TYPE,SPILL_VOL,MATERIAL_SEWER_PIPE,AGE_SEWER_PIPE,DIAMETER_OF_SEWER
841196,38.52008889,-121.4511361,Debris-General,Other,-13519878.626916567,4653159.712589603,2017-09-17 13:00:00,0.08941947668790817,0.19259510934352875,0.1950739175081253,0.0,0.8830368518829346,285.90069580078125,100922.2421875,Category 3,1.0, ,,
840192,38.29878,-122.2848,Pipe Structural Problem/Failure,Other,-13612681.6677573,4621719.813131974,2017-09-18 11:45:00,0.11949437111616135,0.2040589153766632,0.2066318690776825,1.83100062889352e-15,0.937813401222229,287.21954345703125,99517.1171875,Category 3,9.0,ACP,47.0,4.0
840077,38.7273,-121.29477,Root Intrusion,Other,-13502472.032287234,4682684.57362658,2017-09-15 11:34:00,0.052039559930562966,0.1255912333726883,0.13284613192081451,0.0,0.8948113322257996,288.0282897949219,100365.390625,Category 3,3.0, ,,
840139,37.78072,-122.15331,Debris-General,Other,-13598044.267912894,4548495.047822558,2017-09-15 09:02:00,0.17870277166366574,0.2352103739976883,0.2363007217645645,5.006484116165666e-11,0.9411980509757996,284.7001647949219,100053.390625,Category 3,260.0,VCP,,8.0
841223,38.70996111,-121.2970417,Operator error,Other,-13502724.91677447,4680210.734249416,2017-09-12 13:15:00,0.06049207225441933,0.12641596794128418,0.13368597626686096,3.607808018373984e-25,0.8987472057342529,294.193359375,100334.0234375,Category 3,1.0, ,,
840158,37.9534,-122.34739,Pipe Structural Problem/Failure,Other,-13619649.154686052,4572844.885702262,2017-09-12 13:35:00,0.17235425114631653,0.2286803722381592,0.22969427704811096,0.0,0.9485518932342528,291.1358642578125,100310.0234375,Category 1,17640.0,vcp,55.0,6.0
841205,38.71819722,-121.2864361,Root intrusion,Other,-13501544.306782914,4681385.752702595,2017-09-12 19:00:00,0.0620642863214016,0.1264173835515976,0.13363339006900787,3.987921104453561e-13,0.898402988910675,304.91851806640625,100382.0546875,Category 3,13.0, ,,
839933,37.81261,-122.22292,Root Intrusion,Other,-13605793.217667013,4552987.60730682,2017-09-12 20:00:00,0.1124793216586113,0.1564466804265976,0.15993954241275787,0.0,0.944789707660675,301.89117431640625,100278.0546875,Category 3,360.0,VCP,,8.0
840327,39.34349,-120.17109,Damage by Others Not Related to CS Construction/Maintenance (Specify Below),Other,-13377384.546872653,4770993.682271319,2017-09-13 00:00:00,0.19587387144565585,0.18692298233509064,0.1827714592218399,2.570450305938721e-05,0.954699456691742,285.03619384765625,79569.1875,Category 3,374.0,PVC,7.0,6.0
841209,38.69551944,-121.3052778,Root intrusion,Other,-13503641.755232593,4678150.715894757,2017-09-13 06:30:00,0.05783095583319664,0.12604436278343198,0.1333993524312973,2.361960483796506e-30,0.8977147340774536,293.4520263671875,100193.75,Category 3,38.0, ,,
